LCLid,stdorToU,DateTime,KWH/hh (per half hour) ,Acorn,Acorn_grouped
MAC000002,Std,2012-10-13 12:30:00.0000000, 0.133 ,ACORN-A,Affluent
MAC000002,Std,2012-10-13 13:00:00.0000000, 0.076 ,ACORN-A,Affluent
MAC000002,Std,2012-10-13 13:30:00.0000000, 0.133 ,ACORN-A,Affluent
MAC000002,Std,2012-10-13 14:00:00.0000000, 0.085 ,ACORN-A,Affluent
MAC000002,Std,2012-10-13 14:30:00.0000000, 0.263 ,ACORN-A,Affluent
MAC000002,Std,2012-10-13 15:00:00.0000000, 0.134 ,ACORN-A,Affluent
MAC000002,Std,2012-10-13 15:30:00.0000000, 0.235 ,ACORN-A,Affluent
MAC000002,Std,2012-10-13 16:00:00.0000000, 0.124 ,ACORN-A,Affluent
MAC000002,Std,2012-10-13 16:30:00.0000000, 0.184 ,ACORN-A,Affluent
MAC000002,Std,2012-10-13 17:00:00.0000000, 0.23 ,ACORN-A,Affluent
MAC000002,Std,2012-10-13 17:30:00.0000000, 0.176 ,ACORN-A,Affluent
MAC000002,Std,2012-10-13 18:00:00.0000000, 0.388 ,ACORN-A,Affluent
MAC000002,Std,2012-10-13 18:30:00.0000000, 0.26 ,ACORN-A,Affluent
MAC000002,Std,2012-10-13 19:00:00.0000000, 0.918 ,ACORN-A,Affluent
MAC000002,Std,2012-10-13 19:30:00.0000000, 0.278 ,ACORN-A,Affluent
MAC000002,Std,2012-10-13 20:00:00.0000000, 0.267 ,ACORN-A,Affluent
MAC000002,Std,2012-10-13 20:30:00.0000000, 0.239 ,ACORN-A,Affluent
MAC000002,Std,2012-10-13 21:00:00.0000000, 0.23 ,ACORN-A,Affluent
MAC000002,Std,2012-10-13 21:30:00.0000000, 0.233 ,ACORN-A,Affluent
MAC000002,Std,2012-10-13 22:00:00.0000000, 0.235 ,ACORN-A,Affluent
MAC000002,Std,2012-10-13 22:30:00.0000000, 0.188 ,ACORN-A,Affluent
MAC000002,Std,2012-10-13 23:00:00.0000000, 0.259 ,ACORN-A,Affluent
MAC000002,Std,2012-10-13 23:30:00.0000000, 0.25 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 00:00:00.0000000, 0.262 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 00:30:00.0000000, 0.166 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 01:00:00.0000000, 0.226 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 01:30:00.0000000, 0.088 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 02:00:00.0000000, 0.126 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 02:30:00.0000000, 0.082 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 03:00:00.0000000, 0.123 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 03:30:00.0000000, 0.083 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 04:00:00.0000000, 0.12 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 04:30:00.0000000, 0.079 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 05:00:00.0000000, 0.121 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 05:30:00.0000000, 0.075 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 06:00:00.0000000, 0.124 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 06:30:00.0000000, 0.073 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 07:00:00.0000000, 0.125 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 07:30:00.0000000, 0.07 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 08:00:00.0000000, 0.13 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 08:30:00.0000000, 0.108 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 09:00:00.0000000, 0.196 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 09:30:00.0000000, 0.346 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 10:00:00.0000000, 0.524 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 10:30:00.0000000, 0.076 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 11:00:00.0000000, 0.129 ,ACORN-A,Affluent
